Questions,Answers,,,,,,,,,,,,,,,,,,,,,,,,
What financial aid options are available for international students?,African scholar Scholarship and innovation scholarship are avaialable to all students. ,,,,,,,,,,,,,,,,,,,,,,,,
How do I apply for a scholarship?,"To apply for a scholarship, you have to first receive admission. In order to receive admission, you have to apply. After you have received admission, you can come to the university with your admission letter to fill in a scholarship application form.",,,,,,,,,,,,,,,,,,,,,,,,
How do I apply for a scholarship without coming to the university?,"At the moment, we do not have the scholarship form available online. However, after receiving admission, you can contact one of our team members called Karume, on WhatsApp for assistance. His phone number is +256703789157.",,,,,,,,,,,,,,,,,,,,,,,,
I want to study but i dont have money.,We understand and sympathise with your situation but please know that all our internationally accredited courses are designed to be as inexpensive as possible without any compromise in quality. Also the fees can be paid in installments so you do not need to pay it all at once. So would you please consider learning with us?😊,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: ORIENTATION,,,,,,,,,,,,,,,,,,,,,,,,,
Is there an orientation for new students? How do I sign up?,"Yes, orientations are held during the first week of the semester. They are both on-campus and streamed online.",,,,,,,,,,,,,,,,,,,,,,,,
When does orientation for the next intake begin?,Orientation for the August 2025 intake is to be scheduled.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: ACADEMIC CALENDER,,,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the campus events calendar?,"Events are updated regularly on the University webpage, www.iuea.ac.ug.",,,,,,,,,,,,,,,,,,,,,,,,
Where can I find the academic calendar?,The academic calendar is released by the Office of the Academic Registrar and sent to students via email. You can also get it by contacting the Academic Registrar's Office through academic.registrar@iuea.ac.ug.,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: FACILITIES,,,,,,,,,,,,,,,,,,,,,,,,,
WORKING HOURS,,,,,,,,,,,,,,,,,,,,,,,,,
At what time do IUEA offices close?,"Most offices work between the hours of 8 am and 5 pm on Weekdays, and 9 am and 1 pm on Saturdays ",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: CAFETERIA AND MEAL PLANS ,,,,,,,,,,,,,,,,,,,,,,,,,
How do I change my meal plan?,"IUEA does not offer an official meal plan, but a student is welcome to discuss a meal plan with the IUEA cafeteria.",,,,,,,,,,,,,,,,,,,,,,,,
What do I do if I have dietary restrictions?,Please discuss this with the IUEA cafeteria,,,,,,,,,,,,,,,,,,,,,,,,
What are the operating hours for the Caferteria?,"The IUEA Cafeteria works between the hours of 8 am and 5 pm on Weekdays, and 9 am and 1 pm on Saturdays ",,,,,,,,,,,,,,,,,,,,,,,,
Are meal plans required for students living on campus?,"We do not have any official meal plans at the moment, however the campus cafeteria can make deliveries to any part of the campus within working hours once the order is made.",,,,,,,,,,,,,,,,,,,,,,,,
"SUB-CATEGORY: HEALTH AND SAFETY CENTRES, EQUIPMENT AND RULES ",,,,,,,,,,,,,,,,,,,,,,,,,
What wellness programs are offered to students?,"IUEA has numerous wellness programmes available to students. For physical wellness, there is the gym. IUEA also has a mental wellness service availabe on campus and a clinic also available on campus. ",,,,,,,,,,,,,,,,,,,,,,,,
How do I make an emergency call on campus?,"For security concerns, please contact the head of security, Alex, at +256 784 784815. ",,,,,,,,,,,,,,,,,,,,,,,,
What vaccinations are required for enrollment?,"Beyond the required vaccinations for International students, IUEA does not have additional vaccination requirements.",,,,,,,,,,,,,,,,,,,,,,,,
What safety measures are in place on campus?,"IUEA has evacuation routes information, it has fire extinguishers in strategic locations, it has regular fire drills, clearly defined separation of vehicular traffic and foot trafic, a standby ambulance on campus, a nurse and a doctor on standby and a clinic that is easy to access.",,,,,,,,,,,,,,,,,,,,,,,,
What counseling services are available to students?,IUEA has a full-time counsellor available for students. It is located near the Centre of Language and Professional Skills and the Cafeteria.,,,,,,,,,,,,,,,,,,,,,,,,
"Where is the health center, and how do I make an appointment?","The health center is located on the main campus, and students can make an appointment by calling the health clinic directly or walk in. Walk-in services are available at the clinic.",,,,,,,,,,,,,,,,,,,,,,,,
What is the university's policy on drug and alcohol use?,IUEA's policies on the handling & consumption of alcohol & other intoxicating drugs can be found in the Joining Instructions Student Handbook,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: ICT FACILITIES AND TECHNICAL SUPPORT SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,
Are there any software discounts for students?,Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,
How can I contact the ICT department at IUEA?,"To contact our ICT department, please send an email to ict@iuea.ac.ug describing the nature of your inquiry or come to the ICT department located on the second floor of the main building ",,,,,,,,,,,,,,,,,,,,,,,,
Are there any computer labs available for student use?,"Yes, IUEA has a computer lab located on the IUEA Main campus next to the main Cafeteria, plot 1112-1121, Kansanga, Ggaba road, Kampala, Uganda. We also have an electronic library that can be accessed by an IUEA student from anywhere. It has all the major databases. ",,,,,,,,,,,,,,,,,,,,,,,,
How do I report a problem with campus facilities?,There are online and hard copy forms available to students who wish to report problems with the facilities.,,,,,,,,,,,,,,,,,,,,,,,,
How do I access the campus Wi-Fi?,"To access the on-campus Wifi, we kindly request that you see the ICT department located on the second floor/ the Faculty of Business floor.",,,,,,,,,,,,,,,,,,,,,,,,
Where can I get technical support for my laptop?,"Technical support for laptops and other devices is available from the on-campus ICT department, which is open from 8 am and 5 pm on Weekdays, and 9 am and 1 pm on Saturdays ",,,,,,,,,,,,,,,,,,,,,,,,
My SIS is not working.,"Please get in touch with one of our team to be able to help you with that issue. Email: reg@iuea.ac.ug.
",,,,,,,,,,,,,,,,,,,,,,,,
Where can I find help for online learning platforms?,"Students can get assistance from the Online Systems Manager, Madam Preethima Nataraj at +256 709 994327",,,,,,,,,,,,,,,,,,,,,,,,
How do I print documents on campus?,Students can print documents on campus from the on-campus stationary shop.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: PARKING AND TRANSPORTATION,,,,,,,,,,,,,,,,,,,,,,,,,
Are there bike rental services on campus?,The buildings within the campus are all within easy walking distance.,,,,,,,,,,,,,,,,,,,,,,,,
Is there a shuttle service around campus?,"No, the campus is walkable and doesn't require a shuttle service.",,,,,,,,,,,,,,,,,,,,,,,,
Where is the nearest parking to my department?,"IUEA has numerous parking lots on campus. There is the main campus lot next to the administration building and the classes for science, technology, business, humanities and law, and there is the Soweto Road parking lot, which is closest to the engineering labs and the smartclassrooms.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: LIBRARY SERVICES ,,,,,,,,,,,,,,,,,,,,,,,,,
Is there a campus bookstore?,There are bookstores within walking distance of the campus.,,,,,,,,,,,,,,,,,,,,,,,,
How do I access online library resources?,All Active students are provided a link to the online library resources. Email for more info: lilian.mudoola@iuea.ac.ug,,,,,,,,,,,,,,,,,,,,,,,,
"Where is the library, and what are its hours?","The library is located on the IUEA Main campus next to the main Cafeteria, plot 1112-1121, Kansanga, Ggaba road, Kampala, Uganda, next to the student Cafeteria. It is open between the hours of 8 am and 9 pm. The electronic library can also be accessed by an IUEA student from anywhere. It has all the major databases.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TEACHING FACILITIES,,,,,,,,,,,,,,,,,,,,,,,,,
What modern facilities does IUEA offer?,"IUEA has smart classrooms that provide an immersive learning experience. We have advanced laboratories equipped with industry-standard tools. We have the IUEA innovation labs where students can experiment, in addition to campus-wide Wi-Fi. We have one of the largest auditoriums in East Africa.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: STUDY ROOMS,,,,,,,,,,,,,,,,,,,,,,,,,
How can I book a study room?,"IUEA has numerous facilities and learning spaces that students can use without booking, however, should the student need a specialised space for studies for example, rooms with projectors, smart boards, etc. they can contact the dean of students office.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: LOST AND FOUND,,,,,,,,,,,,,,,,,,,,,,,,,
Is there a lost and found office?,"Yes, at the dean of students office and the reception.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: SPORTS FACILITIES,,,,,,,,,,,,,,,,,,,,,,,,,
What sports facilities are available on campus?,"IUEA has one of the largest sports centres in Uganda, with 2 basketball courts, a massive field, a modern astroturf pitch, swimming pools and a netball court.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DIRECTORIES,,,,,,,,,,,,,,,,,,,,,,,,,
Is there a campus map available online?,Please visit the reception for directions ,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: HOSTELS,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: GENERAL INFORMATION ABOUT IUEA HOSTELS,,,,,,,,,,,,,,,,,,,,,,,,,
How do I apply for on-campus housing?,Campus housing application forms are available through the dean of students office.,,,,,,,,,,,,,,,,,,,,,,,,
What are the housing options available?,There are gender-based hostels. There's shared room options and single rental options. Most hostels are within walking distance or a short ride away from campus.,,,,,,,,,,,,,,,,,,,,,,,,
How do I report a maintenance issue in my dorm?,Maintenance issues in hostels are reported to the on-site hostel manager.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: HOSTEL FEES,,,,,,,,,,,,,,,,,,,,,,,,,
How much does it cost to rent a room at the university hostels?,"The cost of renting a room at IUEA hostels varies depending on the number of people sharing the room:
Private single room: $400 per semester.
Room for 2 people: $350 per person per semester.
Room for 3 people: $300 per person per semester.
Room for 4 people: $208 per person per semester.
Room for 6 people: $160 per person per semester.
Room for 8 people: $120 per person per semester.
For more information, you can contact the Hostel Manager, Hamisu, via Call/WhatsApp at +256704911904.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: BORROWING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,
How do I borrow equipment from the ICT department?,Equipment such as projectors and smart boards can be borrowed from the ICT department by filling out a simple form and showing an IUEA ID.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: CLUBS AND EXTRA CURRICULAR ACTIVITIES ,,,,,,,,,,,,,,,,,,,,,,,,,
How do I start a new club or organization?,"Students can start a new club or organisation by registering the club or organisation with the dean of students. Requirements for setting up a club or organisation, finding an adviser, creating a constitution and governance structure are available from the Dean of Students office.",,,,,,,,,,,,,,,,,,,,,,,,
Are there any leadership opportunities available?,"Yes, there are many leadership opportunites available. IUEA has numerous student professional associations in business, agriculture, innovation, climate change and many other areas where students can gain leadership experience,both on campus and outside.",,,,,,,,,,,,,,,,,,,,,,,,
Are there any cultural or diversity programs?,"Yes, there are numerous cultural and diversity programs available. The guild (student union) hosts cultural events where students from about 54 countries participate in competitions, dance, poetry, fashion and food exhibitions/tasting.",,,,,,,,,,,,,,,,,,,,,,,,
How can I register for a self-defense class?,"There is a self-defence club. For more info, visit the gym lab",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: WORKSHOPS AND JOB PLACEMENT,,,,,,,,,,,,,,,,,,,,,,,,,
Are there any career services or job placement support?,"Yes, there are career services or job placement support. IUEA regularly brings on campus orgnaisations that are looking to hire students directly or provide job placement support.",,,,,,,,,,,,,,,,,,,,,,,,
Are there any workshops on using library databases?,"Yes, there are workshops on using library databases. The workshops are conducted by the library department and they are conducted frequently.",,,,,,,,,,,,,,,,,,,,,,,,
How can I get involved in student organizations or clubs?,"By contacting the guild/student union office and/or the Dean of students office for a list of student organizations and clubs, including requirements for joining or starting a new club. ",,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: STUDY LEAVES & PROBATION,,,,,,,,,,,,,,,,,,,,,,,,,
"Can I take a leave of absence? If so, how?","To take a leave of absence, kindly send a letter via email to the Dean or Faculty Administrator",,,,,,,,,,,,,,,,,,,,,,,,
What is the policy for academic probation?,"The academic probation is guided by exams. The probation is dependent on the severity of the infraction. For clarification, please email academic.registrar@iuea.ac.ug.",,,,,,,,,,,,,,,,,,,,,,,,
How do I change my major?,"To change your programme, kindly send an email to our admissions office via the email, apply@iuea.ac.ug or call +256 705 722 300 / +256 790002000",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TRANSCRIPTS,,,,,,,,,,,,,,,,,,,,,,,,,
How can I get a copy of my transcript?,"To get a copy of your transcript, kindly contact the Academic Registrar's Office through academic.registrar@iuea.ac.ug",,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: EXAMINATION,,,,,,,,,,,,,,,,,,,,,,,,,
How do I find out about the grading policy?,"It is in our study and examination policy, which is available to all students. For more information, send an email to academic.registrar@iuea.ac.ug",,,,,,,,,,,,,,,,,,,,,,,,
Can I retake a class to improve my grade?,"Yes, you can, at a fee of 20 USD. Please keep in mind that it will be indicated on your final transcript as a retake. For more information, send an email to academic.registrar@iuea.ac.ug",,,,,,,,,,,,,,,,,,,,,,,,
What are the requirements for honours in my major?,Not applicable to the Ugandan system.,,,,,,,,,,,,,,,,,,,,,,,,
Do you have examination fees?,"Except for retakes, there are no additional fees regarding examinations.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: GRADUATION,,,,,,,,,,,,,,,,,,,,,,,,,
How do I apply for graduation?,Guidance on the graduation registration process can be obtained from the office of the academic registrar through academic.registrar@iuea.ac.ug,,,,,,,,,,,,,,,,,,,,,,,,
When is Graduation?,"At IUEA, we traditionally hold graduation on the last Thursday of November.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: PARTIES AND EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,
Has Davido come to IUEA?,"Davido came to IUEA on the 29th of March, 2024, and launched the IUEA faculty of music and arts.",,,,,,,,,,,,,,,,,,,,,,,,
Has Fally Ipupa come to IUEA?,Fally Ipupa came to IUEA in 2023 ,,,,,,,,,,,,,,,,,,,,,,,,
Does IUEA hold parties for new students?,"Yes, we hold welcoming celebrations for new students, called Fresher's parties, at least twice a year in addition to orientation.",,,,,,,,,,,,,,,,,,,,,,,,
Does IUEA host events that students can participate in?,"Yes, we regularly host a variety of events that celebrate our students, support philanthropic causes, and promote academic excellence and awareness. These events often come with special deals, surprises, and plenty of opportunities for students to get involved and make the most of their university experience.",,,,,,,,,,,,,,,,,,,,,,,,
What is the International Youth Festival?,"IUEA held the International Youth Festival on the 4th and 5th of October 2024. Day one, which happened on our vibrant campus, was filled with groundbreaking discussions on Africa's future, focusing on Nuclear Energy, Healthcare, and Ecology. It was your chance to gain insider knowledge and get a jumpstart in industries set to transform the continent. Then, on the 5th, attendees joined us at Across the Nile Resort for an unforgettable cultural celebration, organized by our Bachelor of Tourism and Hotel Management.",,,,,,,,,,,,,,,,,,,,,,,,
What is IUEA doing in Jinja?,"IUEA held the International Youth Festival on the 4th and 5th of October 2024. Day one, which happened on our vibrant campus, was filled with groundbreaking discussions on Africa's future, focusing on Nuclear Energy, Healthcare, and Ecology. It was your chance to gain insider knowledge and get a jumpstart in industries set to transform the continent. Then, on the 5th, attendees joined us at Across the Nile Resort for an unforgettable cultural celebration, organized by our Bachelor of Tourism and Hotel Management.",,,,,,,,,,,,,,,,,,,,,,,,
When is Mr & Miss IUEA?,IUEA typically holds the Mr & Miss beauty pageant in November. For more information reach out to the marketing department,,,,,,,,,,,,,,,,,,,,,,,,
What is Mr & Miss IUEA?,"Mr. & Miss IUEA is an exciting beauty pageant that celebrates the talent, creativity, and charisma of IUEA students. Participants compete to earn the prestigious title of becoming the face of the university, embodying its spirit and values.",,,,,,,,,,,,,,,,,,,,,,,,
 CHANGES MADE TO THE NAMES OF COURSES ,,,,,,,,,,,,,,,,,,,,,,,,,
Does IUEA offer the Higher Education Certificate Programme?,The Higher Education Certificate Programme has been officially renamed to the Higher Education Access Programme ,,,,,,,,,,,,,,,,,,,,,,,,
Does IUEA offer the International Foundation Programme?,The International Foundation Programme has been officially renamed to the Higher Education Access Programme ,,,,,,,,,,,,,,,,,,,,,,,,
Are applications free?," IUEA was running a special offer for a limited number of individuals that ended on Saturday, May 17th. Join IUEA and stay tuned for more exciting offers.",,,,,,,,,,,,,,,,,,,,,,,,
